ORIGIN,FL_DATE,temperature_max,precipitation_mm,windspeed_max_kmh
ATL,2022-06-21,34.5,0.0,15.4
MCO,2023-06-26,32.9,0.9,13.7
MCO,2023-06-12,33.3,0.0,14.3
ATL,2019-06-10,27.7,22.5,16.1
ORD,2021-06-12,32.2,3.7,12.2
DEN,2022-06-24,32.8,0.7,31.6
ATL,2021-06-29,28.2,7.0,14.0
DFW,2021-06-13,34.0,0.0,8.9
PHX,2020-06-15,41.2,0.0,23.4
CLT,2023-06-20,24.4,27.7,20.2
DEN,2023-06-12,17.1,18.4,20.8
CLT,2021-06-30,32.7,0.8,16.5
LAS,2022-06-13,35.9,0.0,40.6
ATL,2021-06-05,29.2,3.7,16.3
LAS,2021-06-24,34.5,0.0,22.6
ORD,2020-06-23,24.0,4.9,20.6
LAX,2023-06-28,20.2,0.0,23.1
ORD,2022-06-30,32.7,0.0,24.3
MCO,2023-06-16,34.0,0.3,32.2
SEA,2019-06-23,20.0,1.3,14.6
MCO,2019-06-07,31.2,10.3,15.2
MCO,2023-06-01,27.9,27.0,14.7
MCO,2022-06-29,31.5,4.5,14.8
PHX,2019-06-11,41.8,0.0,24.1
LAX,2019-06-30,24.0,0.0,24.5
CLT,2020-06-07,30.8,0.0,11.4
DEN,2022-06-12,34.4,0.3,20.6
MCO,2022-06-28,31.5,4.3,15.5
MCO,2022-06-05,32.0,4.7,14.7
DEN,2019-06-04,26.0,0.0,17.3
ORD,2021-06-23,26.2,2.6,25.4
ORD,2019-06-03,18.0,0.0,12.8
CLT,2019-06-25,32.2,3.1,12.3
LAX,2022-06-28,25.7,0.0,18.9
LAS,2019-06-05,37.5,0.0,15.5
DEN,2019-06-11,24.9,0.0,32.9
ATL,2021-06-06,28.6,2.2,19.3
LAS,2021-06-29,37.2,0.5,31.4
SEA,2021-06-05,16.1,1.8,31.4
LAS,2023-06-30,38.8,0.0,12.2
CLT,2022-06-04,30.1,0.0,17.1
ATL,2019-06-02,32.0,0.0,17.1
LAX,2021-06-12,23.5,0.0,26.4
DFW,2019-06-01,31.0,0.5,17.8
ATL,2023-06-01,27.5,0.0,16.3
SEA,2022-06-09,14.5,22.6,10.7
DFW,2020-06-04,34.7,0.0,19.4
CLT,2021-06-26,30.2,0.9,13.2
ORD,2023-06-04,25.4,0.0,18.1
DFW,2023-06-27,39.4,0.0,22.1
ORD,2022-06-29,29.2,4.5,15.0
LAS,2021-06-12,38.7,0.0,14.3
LAS,2021-06-19,44.9,0.0,28.0
CLT,2023-06-15,29.0,0.4,17.8
LAS,2022-06-21,37.0,0.0,28.0
DFW,2022-06-23,37.5,0.0,26.1
LAS,2021-06-14,43.2,0.0,25.0
DEN,2023-06-20,28.5,0.0,29.9
LAX,2021-06-22,21.3,0.0,32.0
SEA,2019-06-08,19.3,0.0,13.2
PHX,2019-06-10,41.3,0.0,22.2
DFW,2023-06-22,32.0,1.2,20.7
ATL,2023-06-29,32.5,0.1,16.3
CLT,2023-06-28,30.2,0.0,12.4
DFW,2020-06-03,32.5,0.0,14.7
DEN,2019-06-28,33.2,0.0,17.9
DFW,2019-06-04,30.4,0.1,23.1
SEA,2019-06-12,31.7,0.0,15.3
PHX,2022-06-16,44.0,0.0,22.7
DEN,2021-06-21,22.6,10.0,20.4
CLT,2020-06-28,33.3,0.2,15.8
ORD,2019-06-13,19.0,10.0,26.9
LAX,2023-06-13,19.5,0.0,28.2
ORD,2020-06-05,29.2,0.3,14.2
SEA,2021-06-23,24.0,0.0,13.1
CLT,2019-06-21,30.6,0.0,18.4
ATL,2021-06-07,28.0,10.3,17.4
DEN,2022-06-04,27.0,0.0,20.6
DEN,2021-06-28,21.2,0.2,14.3
PHX,2023-06-17,39.5,0.0,13.4
DEN,2022-06-16,32.8,0.1,23.1
DFW,2023-06-17,31.1,3.7,22.2
ATL,2021-06-02,28.0,0.0,15.1
LAS,2021-06-06,39.5,0.0,27.6
PHX,2023-06-05,40.2,0.0,26.2
ORD,2019-06-15,21.9,17.6,19.7
PHX,2023-06-02,34.6,0.0,16.6
PHX,2023-06-11,32.4,0.0,24.9
LAX,2020-06-29,20.5,1.5,24.1
PHX,2020-06-18,38.2,0.0,17.1
LAX,2020-06-15,23.4,0.0,23.0
DFW,2019-06-03,30.4,3.7,14.4
ATL,2019-06-18,26.4,8.2,15.2
CLT,2019-06-28,32.0,0.0,8.9
SEA,2023-06-10,17.8,5.1,10.5
MCO,2020-06-18,30.7,4.4,14.8
DEN,2023-06-29,27.5,3.7,27.9
SEA,2020-06-03,17.3,0.0,13.8
CLT,2019-06-15,27.4,0.0,12.6
ORD,2023-06-02,31.0,0.0,13.6
ATL,2020-06-09,29.6,10.5,18.2
ATL,2021-06-19,25.0,32.3,32.1
DFW,2023-06-10,33.1,1.1,25.9
LAX,2020-06-22,22.0,0.0,27.5
LAX,2023-06-27,20.5,0.0,25.4
LAX,2023-06-24,20.6,0.0,22.3
DEN,2020-06-04,29.4,0.0,23.0
DEN,2020-06-29,33.8,0.0,27.3
CLT,2022-06-24,34.3,0.0,15.8
DEN,2019-06-03,26.2,0.4,19.9
LAX,2023-06-15,19.5,0.0,18.7
PHX,2019-06-19,39.5,0.0,20.6
SEA,2022-06-18,16.2,2.1,19.5
SEA,2023-06-21,20.2,0.1,12.5
ORD,2022-06-20,33.0,0.0,18.1
PHX,2022-06-17,43.2,0.0,26.4
LAS,2023-06-19,34.3,0.0,42.9
LAS,2019-06-09,33.4,0.0,26.5
LAX,2020-06-11,26.0,0.0,18.4
SEA,2019-06-06,15.9,3.1,22.2
LAS,2019-06-24,38.3,0.0,19.8
ATL,2021-06-03,30.5,0.4,15.3
ATL,2019-06-22,28.3,9.7,21.4
SEA,2023-06-23,26.1,0.0,14.7
LAX,2019-06-09,22.0,0.0,27.8
ATL,2019-06-17,30.6,4.9,13.8
PHX,2021-06-15,46.5,0.0,29.9
PHX,2020-06-14,40.2,0.0,20.3
LAX,2022-06-14,23.0,0.0,27.3
MCO,2021-06-29,29.5,15.8,18.1
ATL,2020-06-01,28.3,0.0,20.9
SEA,2022-06-23,18.6,0.1,15.0
DFW,2019-06-18,31.3,0.0,16.3
ORD,2022-06-23,28.2,0.0,12.8
ATL,2023-06-07,31.1,0.2,17.6
DEN,2020-06-24,31.0,0.1,21.1
LAS,2021-06-16,45.3,0.0,15.8
MCO,2022-06-16,35.2,1.7,16.3
SEA,2022-06-29,18.5,0.6,18.7
CLT,2022-06-19,30.2,0.0,18.1
DFW,2021-06-06,28.5,11.2,19.1
CLT,2020-06-26,32.6,0.0,19.5
DEN,2021-06-04,29.5,0.0,16.7
DEN,2022-06-06,25.9,3.8,13.0
SEA,2022-06-21,23.1,0.0,7.4
PHX,2020-06-19,38.3,0.0,16.6
DFW,2021-06-04,25.5,1.9,15.9
DEN,2022-06-17,35.5,0.3,26.8
LAS,2020-06-04,41.5,0.0,27.2
LAS,2022-06-26,40.7,0.0,15.9
SEA,2023-06-01,18.5,0.0,17.6
DFW,2021-06-19,33.6,0.0,16.6
LAX,2020-06-06,19.8,0.0,25.2
ATL,2020-06-07,30.5,0.0,16.2
ATL,2023-06-27,31.2,0.6,22.7
ORD,2021-06-30,26.9,7.5,10.7
LAX,2021-06-21,20.8,0.0,30.0
ORD,2022-06-27,25.3,0.0,17.1
MCO,2019-06-19,30.0,9.6,18.4
SEA,2022-06-02,20.9,0.8,9.4
CLT,2019-06-26,31.5,0.0,11.1
DFW,2021-06-21,31.4,8.2,23.4
MCO,2021-06-07,31.2,1.7,18.0
CLT,2022-06-26,34.2,1.4,15.5
ATL,2022-06-06,29.0,2.0,19.6
ATL,2023-06-15,26.9,3.3,20.4
ATL,2020-06-04,29.5,2.1,13.0
DEN,2019-06-06,26.1,0.0,16.3
MCO,2021-06-17,30.2,0.5,15.6
PHX,2020-06-30,37.2,0.0,20.2
MCO,2023-06-25,30.8,3.8,13.3
LAX,2021-06-13,23.7,0.0,27.3
SEA,2021-06-22,26.0,0.0,15.9
ORD,2023-06-09,26.1,0.0,17.2
PHX,2022-06-01,37.5,0.0,17.0
PHX,2022-06-15,41.2,0.0,15.3
ORD,2023-06-18,28.3,0.0,18.1
CLT,2021-06-24,26.8,0.0,11.4
LAX,2019-06-08,22.0,0.0,18.9
ATL,2023-06-02,29.9,0.1,14.6
DEN,2021-06-20,29.0,0.1,22.4
CLT,2022-06-10,30.7,0.0,15.7
PHX,2021-06-16,45.7,0.0,16.4
SEA,2022-06-04,18.6,9.9,10.7
LAX,2022-06-05,21.2,0.0,28.0
LAX,2019-06-17,19.9,0.1,19.8
CLT,2020-06-10,28.3,1.0,22.4
DEN,2021-06-25,23.6,10.5,25.1
PHX,2019-06-30,43.5,0.0,25.8
ATL,2019-06-15,27.9,0.1,15.0
DEN,2021-06-30,27.1,0.1,18.9
SEA,2022-06-14,16.4,1.5,20.2
LAX,2023-06-07,18.9,1.9,23.1
DEN,2021-06-16,35.5,0.0,22.4
LAX,2021-06-10,21.1,0.0,35.3
DFW,2020-06-09,37.1,0.0,34.1
LAX,2020-06-13,22.2,0.0,34.1
MCO,2023-06-11,32.8,2.9,10.6
DEN,2023-06-27,33.2,0.0,33.7
MCO,2021-06-14,30.4,27.6,15.3
DFW,2020-06-22,34.7,0.4,25.5
ATL,2020-06-13,29.3,0.0,15.1
SEA,2023-06-26,23.9,0.0,9.8
PHX,2019-06-23,37.2,0.0,23.3
DEN,2023-06-21,27.2,0.0,23.2
SEA,2023-06-13,20.2,0.2,26.0
MCO,2021-06-22,32.8,16.9,23.2
PHX,2023-06-08,34.8,0.0,19.0
SEA,2023-06-08,25.2,0.0,13.9
DFW,2019-06-20,34.4,0.8,22.9
DEN,2021-06-01,19.2,0.0,15.6
LAX,2022-06-19,22.1,0.0,38.1
LAS,2021-06-02,40.8,0.0,20.9
DEN,2021-06-09,31.2,0.0,23.4
ATL,2021-06-21,28.2,5.5,24.2
LAX,2022-06-22,28.0,5.6,24.3
ORD,2019-06-19,20.3,6.4,17.9
DFW,2022-06-13,38.8,0.0,27.7
ORD,2021-06-06,31.8,1.2,25.5
ORD,2023-06-28,28.3,0.1,16.3
CLT,2021-06-10,30.0,7.4,18.5
SEA,2019-06-05,18.2,0.2,23.0
ATL,2022-06-17,35.0,3.2,18.1
PHX,2019-06-28,42.8,0.0,18.2
ORD,2022-06-03,25.4,0.0,19.6
SEA,2022-06-27,31.1,0.0,18.1
DFW,2021-06-18,33.7,0.0,13.9
SEA,2021-06-07,15.6,7.9,21.3
DEN,2022-06-25,23.2,0.5,26.3
ATL,2020-06-16,23.5,0.0,18.2
DEN,2022-06-15,29.8,0.0,27.7
MCO,2020-06-17,30.0,0.9,7.4
CLT,2020-06-17,22.4,2.0,14.9
DEN,2019-06-25,28.7,0.0,24.3
DEN,2023-06-08,23.3,0.4,11.3
PHX,2021-06-22,41.4,0.0,29.7
SEA,2020-06-12,16.2,2.3,17.3
LAX,2023-06-09,19.0,0.0,23.5
PHX,2023-06-18,40.9,0.0,29.2
DEN,2022-06-14,27.4,0.4,29.0
DFW,2022-06-05,30.9,8.6,27.8
ORD,2020-06-19,32.2,0.0,13.5
DFW,2023-06-23,33.5,11.9,23.5
ATL,2019-06-12,23.2,6.6,25.2
LAS,2023-06-29,36.8,0.0,19.1
LAX,2019-06-19,20.3,0.0,24.8
ORD,2020-06-02,30.0,0.0,23.7
MCO,2023-06-21,31.8,8.2,26.6
LAX,2022-06-26,24.1,0.0,23.1
SEA,2019-06-15,23.0,0.0,11.6
PHX,2021-06-11,39.9,0.0,16.2
ATL,2022-06-22,36.0,0.0,17.3
LAS,2023-06-11,30.2,1.5,29.2
DEN,2022-06-01,16.7,12.3,18.8
CLT,2019-06-27,33.2,0.1,10.5
LAS,2022-06-22,35.5,0.0,38.3
SEA,2021-06-10,17.0,0.2,17.0
ATL,2022-06-30,28.6,3.8,10.9
LAX,2019-06-24,20.0,0.0,23.6
DFW,2021-06-14,32.7,1.4,9.9
ORD,2022-06-19,28.4,0.0,14.8
DFW,2019-06-14,32.6,0.0,29.9
DFW,2020-06-11,32.2,0.0,12.6
DFW,2021-06-15,33.4,0.0,11.0
DEN,2019-06-12,22.0,0.8,16.4
LAS,2020-06-17,33.8,0.0,29.8
LAX,2023-06-01,18.5,0.1,23.6
CLT,2021-06-08,28.0,15.7,15.4
PHX,2019-06-27,40.3,0.0,18.7
LAX,2021-06-30,22.8,0.0,20.3
MCO,2019-06-29,28.3,11.9,14.8
DFW,2022-06-14,37.8,0.0,35.3
ATL,2020-06-25,26.4,8.5,17.5
LAS,2023-06-16,27.3,13.1,21.8
PHX,2022-06-28,41.8,0.0,19.6
DEN,2020-06-23,28.0,0.0,18.3
PHX,2022-06-04,38.2,0.0,15.6
DEN,2019-06-05,25.0,0.8,17.4
PHX,2022-06-02,39.2,0.0,18.9
CLT,2020-06-27,31.8,0.5,23.1
DFW,2021-06-10,31.6,0.2,20.2
LAX,2021-06-07,19.8,0.0,19.7
PHX,2019-06-24,39.0,0.0,14.7
DEN,2023-06-16,16.5,21.5,18.1
LAX,2023-06-30,21.4,0.0,26.5
MCO,2020-06-25,32.9,2.5,10.6
LAX,2021-06-20,21.0,0.0,22.8
SEA,2019-06-03,19.0,0.0,14.4
LAX,2021-06-28,22.4,0.0,20.6
SEA,2021-06-14,18.0,4.4,11.2
LAX,2020-06-24,21.0,0.0,27.5
ATL,2019-06-28,31.1,0.0,14.5
DEN,2023-06-22,25.5,17.1,26.7
CLT,2020-06-22,31.6,0.4,17.7
DFW,2022-06-24,39.1,0.0,22.7
ATL,2022-06-07,29.8,16.6,17.1
ORD,2022-06-10,24.0,0.8,15.1
LAS,2022-06-03,36.7,0.0,30.8
ORD,2022-06-01,22.4,0.0,15.0
DFW,2019-06-13,28.7,0.0,12.8
CLT,2022-06-11,31.0,0.1,14.5
PHX,2021-06-29,40.2,0.0,37.9
LAX,2022-06-25,23.0,0.0,25.1
LAX,2019-06-02,18.1,0.1,24.6
PHX,2019-06-15,39.5,0.0,16.5
LAS,2021-06-13,42.0,0.0,28.3
MCO,2020-06-29,34.1,1.1,17.0
LAS,2019-06-17,36.3,0.0,24.5
DFW,2019-06-24,30.5,4.1,18.8
PHX,2021-06-10,38.0,0.0,17.7
CLT,2022-06-28,28.7,4.0,15.9
ATL,2020-06-15,25.5,1.8,17.6
ATL,2023-06-09,28.1,0.0,15.3
LAS,2023-06-05,37.0,0.0,32.0
CLT,2019-06-03,29.6,0.4,16.4
LAX,2019-06-11,24.9,0.0,19.5
DEN,2021-06-22,32.2,0.0,21.2
ATL,2022-06-01,30.9,0.2,9.1
CLT,2019-06-08,28.2,26.4,17.4
SEA,2021-06-11,15.8,7.1,11.2
ATL,2021-06-17,30.3,0.0,10.4
ATL,2020-06-21,31.3,1.0,11.8
DEN,2020-06-20,27.8,0.0,17.6
LAX,2023-06-21,21.9,0.0,27.2
SEA,2019-06-01,23.2,0.0,12.8
DEN,2020-06-07,32.0,0.0,38.3
MCO,2021-06-08,31.2,0.4,14.8
MCO,2021-06-04,30.7,36.6,10.5
ORD,2023-06-12,20.1,0.6,19.5
DEN,2022-06-02,21.0,0.0,17.0
DEN,2020-06-16,33.4,0.0,28.4
DEN,2021-06-29,24.5,0.2,20.9
DFW,2019-06-17,29.0,6.1,13.6
PHX,2019-06-26,38.9,0.0,20.7
ATL,2019-06-29,27.4,11.9,15.2
MCO,2019-06-06,33.4,7.4,13.3
CLT,2020-06-13,27.1,0.0,16.8
LAX,2019-06-10,22.6,0.0,21.3
CLT,2021-06-27,30.9,0.5,14.4
DEN,2019-06-09,17.0,3.3,23.5
SEA,2019-06-07,14.9,6.2,25.5
SEA,2020-06-07,15.8,4.8,15.6
ORD,2022-06-18,20.5,0.0,15.4
ATL,2021-06-20,28.1,27.5,31.8
DFW,2021-06-20,35.0,0.0,22.4
DFW,2022-06-12,40.0,0.0,25.3
LAX,2019-06-16,19.8,0.0,24.2
MCO,2023-06-05,29.2,0.0,19.1
CLT,2023-06-19,27.0,20.1,17.9
DEN,2020-06-18,22.7,0.9,24.0
SEA,2019-06-29,21.8,0.0,13.7
ATL,2019-06-25,31.0,0.0,16.3
DFW,2021-06-27,32.2,1.4,24.9
PHX,2022-06-23,41.7,0.0,27.9
DEN,2019-06-24,25.5,0.0,21.0
LAX,2019-06-20,20.2,0.0,20.7
LAX,2022-06-24,23.9,0.0,27.8
MCO,2020-06-24,32.2,2.4,7.6
MCO,2022-06-14,33.5,0.2,12.4
DEN,2023-06-17,19.5,5.5,12.8
SEA,2021-06-04,22.1,0.0,21.7
DFW,2022-06-16,37.8,0.0,20.3
LAS,2023-06-22,34.5,0.0,32.7
LAX,2023-06-11,19.4,0.0,17.4
DEN,2022-06-18,32.0,0.1,41.0
DEN,2023-06-19,31.1,0.0,34.0
LAS,2020-06-11,39.5,0.0,22.5
PHX,2022-06-22,40.2,0.0,21.2
PHX,2020-06-10,38.9,0.0,17.5
PHX,2019-06-29,44.2,0.0,22.9
DFW,2022-06-25,38.5,0.0,19.6
SEA,2023-06-06,23.6,0.0,22.0
SEA,2021-06-19,23.0,0.0,16.5
ORD,2019-06-28,30.0,0.9,19.1
LAS,2021-06-03,41.7,0.0,21.7
PHX,2021-06-07,38.9,0.0,23.2
DEN,2023-06-03,15.1,11.1,15.1
LAX,2022-06-18,21.9,0.0,28.2
LAS,2021-06-11,34.3,0.0,15.1
ORD,2021-06-04,33.0,0.0,24.7
PHX,2019-06-08,37.2,0.0,18.1
SEA,2023-06-14,20.3,0.4,25.4
LAS,2022-06-23,37.8,0.0,29.1
MCO,2019-06-18,30.1,31.6,15.0
CLT,2019-06-02,31.5,0.0,8.8
ORD,2020-06-27,30.1,0.7,18.8
PHX,2022-06-05,38.6,0.0,19.7
SEA,2021-06-18,20.8,0.0,15.5
LAX,2019-06-29,23.5,0.0,20.1
PHX,2023-06-13,34.9,0.0,18.6
SEA,2022-06-03,18.6,17.6,21.3
PHX,2023-06-03,37.3,0.0,15.8
ATL,2022-06-26,32.7,7.5,14.8
LAS,2019-06-14,35.8,0.0,36.9
SEA,2021-06-17,22.9,0.0,11.9
DEN,2019-06-15,24.9,1.8,15.5
ATL,2023-06-05,28.2,0.0,11.1
MCO,2020-06-19,28.6,8.0,13.7
ORD,2023-06-05,27.4,0.0,12.7
CLT,2021-06-21,32.5,0.0,24.7
DEN,2022-06-09,31.0,0.0,29.6
LAS,2023-06-25,36.6,0.0,31.8
SEA,2021-06-21,27.5,0.0,14.7
LAX,2021-06-09,21.0,0.0,39.3
LAS,2019-06-23,33.5,0.0,16.2
LAX,2021-06-02,18.3,0.0,24.9
SEA,2020-06-25,23.4,0.0,15.9
DEN,2022-06-03,23.7,1.0,21.0
MCO,2023-06-09,31.9,8.8,12.7
LAX,2023-06-23,19.6,0.1,30.9
MCO,2021-06-06,31.0,8.7,16.5
DFW,2020-06-08,35.5,0.0,9.8
SEA,2022-06-15,15.4,0.3,9.7
LAX,2019-06-22,19.9,0.0,26.8
ORD,2020-06-21,26.7,8.4,14.5
MCO,2019-06-30,31.4,9.0,13.8
ORD,2023-06-13,19.0,8.1,24.5
PHX,2019-06-07,38.2,0.0,24.2
ATL,2019-06-03,31.6,0.0,14.1
CLT,2023-06-10,28.5,0.0,10.7
LAS,2022-06-07,39.9,0.0,24.1
MCO,2019-06-02,33.6,1.7,17.0
CLT,2021-06-19,34.3,0.0,26.1
DFW,2022-06-27,32.0,23.0,26.2
PHX,2019-06-20,39.5,0.0,21.7
CLT,2021-06-18,33.2,0.0,16.3
ATL,2022-06-28,28.5,29.2,13.1
PHX,2020-06-23,42.7,0.0,20.7
SEA,2019-06-18,20.6,3.8,12.5
ORD,2021-06-16,25.1,0.0,14.3
LAS,2022-06-17,39.2,0.0,43.8
LAS,2020-06-23,42.5,0.0,21.7
DFW,2019-06-30,29.3,2.0,14.9
PHX,2021-06-28,41.8,0.0,26.8
ATL,2022-06-14,32.7,2.2,9.4
DEN,2022-06-08,25.7,0.0,24.9
ORD,2023-06-22,27.6,0.0,17.6
ORD,2022-06-25,26.2,19.7,18.1
PHX,2023-06-25,42.2,0.0,14.3
LAS,2019-06-21,35.5,0.0,33.7
DEN,2021-06-07,31.8,0.0,20.9
PHX,2019-06-04,36.5,0.0,22.2
MCO,2021-06-12,33.3,4.3,17.0
LAS,2019-06-22,30.9,0.0,25.7
CLT,2020-06-23,29.5,0.5,23.3
CLT,2020-06-25,29.8,2.0,14.3
PHX,2021-06-09,38.8,0.0,13.7
ATL,2019-06-06,24.0,12.3,13.0
DFW,2020-06-25,31.6,0.2,16.4
ORD,2019-06-30,30.2,8.5,11.4
MCO,2022-06-25,31.0,5.7,13.7
LAS,2019-06-02,31.8,0.0,13.6
PHX,2019-06-25,40.2,0.0,25.5
SEA,2020-06-20,20.3,1.7,20.9
DFW,2021-06-02,25.6,1.3,12.9
DFW,2021-06-07,27.5,38.6,22.9
LAX,2023-06-29,21.3,0.0,29.7
MCO,2021-06-20,33.7,1.1,18.1
PHX,2021-06-12,43.0,0.0,13.7
LAS,2019-06-25,38.0,0.0,31.1
ORD,2023-06-25,28.9,2.4,31.6
LAS,2022-06-16,41.7,0.0,24.5
SEA,2023-06-29,27.5,0.0,12.4
SEA,2022-06-26,26.5,0.0,21.6
ORD,2019-06-04,26.3,9.3,23.8
LAS,2020-06-05,38.8,0.0,33.0
MCO,2022-06-27,31.1,4.8,15.8
ATL,2020-06-22,31.0,2.8,16.5
SEA,2023-06-07,29.5,0.0,10.9
ORD,2023-06-17,25.2,0.0,12.6
LAS,2023-06-26,35.6,0.0,31.6
ATL,2020-06-24,28.3,8.5,15.0
LAS,2019-06-06,38.2,0.0,34.1
CLT,2023-06-01,26.9,0.1,14.4
DFW,2020-06-01,28.5,0.1,14.2
LAS,2022-06-14,33.0,0.0,26.0
CLT,2022-06-07,32.5,0.2,17.8
SEA,2019-06-27,19.9,4.9,17.1
PHX,2021-06-21,41.9,0.0,27.7
PHX,2020-06-17,38.6,0.0,19.8
ATL,2023-06-20,26.1,10.2,11.4
ORD,2023-06-08,21.7,0.0,16.3
DFW,2022-06-17,36.1,0.4,22.8
LAS,2021-06-27,41.0,0.0,25.1
PHX,2022-06-03,39.0,0.0,20.1
PHX,2022-06-29,41.0,0.0,31.8
MCO,2021-06-25,27.8,9.1,16.2
DEN,2023-06-28,27.6,1.0,25.7
ATL,2023-06-23,26.4,0.2,10.0
LAS,2021-06-10,30.4,0.0,30.0
SEA,2021-06-16,19.6,0.0,16.4
MCO,2023-06-06,30.3,0.9,12.5
PHX,2019-06-03,35.2,0.0,18.9
DEN,2020-06-08,25.9,0.3,42.4
PHX,2021-06-08,36.3,0.0,16.0
DEN,2019-06-08,26.0,2.7,27.0
SEA,2019-06-20,19.9,8.9,16.3
SEA,2023-06-22,21.9,0.0,16.4
LAS,2019-06-19,40.3,0.0,24.5
MCO,2023-06-14,34.8,8.0,17.7
PHX,2019-06-06,38.6,0.0,23.5
PHX,2022-06-19,37.3,1.1,22.7
MCO,2022-06-30,31.9,9.8,12.7
ATL,2020-06-12,29.7,0.7,17.8
ORD,2022-06-28,28.6,0.0,16.7
ORD,2022-06-12,18.6,0.1,14.4
MCO,2019-06-13,28.2,5.2,13.2
SEA,2021-06-12,21.1,1.1,9.4
CLT,2022-06-02,35.9,0.0,20.3
DEN,2023-06-14,24.5,0.6,14.2
LAS,2022-06-18,31.5,0.0,32.9
PHX,2021-06-19,45.5,0.0,30.6
LAX,2019-06-26,20.5,0.0,25.3
PHX,2021-06-26,41.9,0.0,19.0
DEN,2019-06-01,22.5,0.3,16.8
LAS,2023-06-01,32.7,0.0,28.7
MCO,2023-06-22,31.1,13.3,17.9
CLT,2022-06-09,33.3,0.8,17.7
CLT,2022-06-08,31.4,5.2,18.9
MCO,2019-06-09,30.9,26.2,17.5
SEA,2022-06-28,21.3,1.8,23.6
LAS,2020-06-07,29.0,0.0,40.8
PHX,2022-06-30,40.0,1.5,18.6
ORD,2019-06-01,27.1,18.7,19.6
CLT,2021-06-13,30.4,0.0,11.5
CLT,2020-06-05,29.3,2.8,14.8
LAX,2019-06-03,17.9,0.0,26.5
DFW,2021-06-24,35.7,0.0,23.8
ATL,2023-06-22,25.6,18.5,20.6
DEN,2021-06-02,22.5,0.0,13.6
LAS,2022-06-01,31.7,0.0,25.5
ORD,2019-06-23,26.8,10.6,24.6
DEN,2019-06-16,27.0,1.1,23.4
MCO,2022-06-06,31.6,24.5,10.0
LAX,2023-06-10,19.5,0.0,18.1
PHX,2022-06-18,37.3,1.9,27.1
ATL,2020-06-05,31.0,4.8,17.1
LAX,2020-06-12,21.2,0.0,23.3
LAS,2021-06-28,40.5,0.0,24.1
CLT,2022-06-01,34.8,0.0,9.5
LAX,2023-06-08,19.6,0.0,31.3
LAS,2019-06-20,39.0,0.0,39.2
DFW,2022-06-29,34.0,0.0,16.8
PHX,2023-06-04,38.9,0.0,19.1
LAS,2021-06-26,40.5,0.0,18.5
LAS,2021-06-05,41.3,0.0,30.1
CLT,2019-06-24,33.8,6.4,19.5
DEN,2019-06-14,27.5,0.1,18.6
PHX,2022-06-13,40.9,0.0,27.7
ORD,2021-06-18,34.5,0.0,23.7
LAS,2023-06-02,34.2,0.0,26.6
DFW,2023-06-14,29.9,18.5,21.1
LAX,2022-06-10,23.7,0.0,21.8
LAX,2019-06-12,22.5,0.0,27.6
ORD,2022-06-11,22.3,0.1,14.2
MCO,2021-06-13,29.9,9.0,14.8
ORD,2023-06-19,27.7,0.0,16.4
ATL,2020-06-02,29.5,0.0,11.3
ORD,2020-06-07,23.8,0.0,14.8
ORD,2023-06-10,29.4,0.0,13.2
SEA,2019-06-26,21.0,0.3,11.7
DFW,2023-06-25,38.7,0.0,23.8
LAX,2023-06-22,18.9,0.0,30.1
LAX,2020-06-26,20.8,0.0,24.9
LAX,2022-06-01,23.2,0.0,26.2
ORD,2019-06-02,20.3,0.1,16.0
ATL,2019-06-01,32.3,0.0,19.1
DFW,2021-06-29,29.5,13.0,19.5
PHX,2020-06-28,40.0,0.0,26.6
PHX,2023-06-09,35.2,0.0,16.2
ORD,2020-06-24,25.0,4.5,16.6
CLT,2021-06-07,31.0,10.1,16.8
PHX,2022-06-06,40.2,0.0,18.6
MCO,2023-06-20,29.7,24.8,26.2
PHX,2020-06-13,40.9,0.0,30.6
SEA,2023-06-05,19.4,0.0,25.0
PHX,2020-06-12,41.7,0.0,20.6
ATL,2021-06-15,30.9,0.0,21.0
MCO,2021-06-09,32.0,0.1,14.1
ATL,2022-06-27,31.2,11.8,7.6
MCO,2019-06-12,30.1,20.9,15.8
SEA,2022-06-17,14.5,2.3,21.3
DFW,2020-06-18,34.5,0.1,25.5
MCO,2021-06-11,33.8,2.2,15.8
SEA,2019-06-02,24.6,0.0,17.2
SEA,2019-06-09,20.2,0.0,15.3
CLT,2019-06-09,26.0,14.8,14.5
LAX,2019-06-15,20.2,0.0,25.7
CLT,2023-06-09,26.6,0.0,13.0
CLT,2020-06-16,17.1,5.9,26.6
ATL,2021-06-14,30.1,2.4,12.3
ATL,2022-06-15,35.2,6.7,22.0
LAX,2020-06-05,22.4,0.4,21.5
PHX,2022-06-25,41.0,0.0,41.5
DEN,2023-06-05,20.7,5.3,16.8
LAS,2023-06-04,36.8,0.0,23.0
CLT,2023-06-24,27.7,0.0,9.0
MCO,2022-06-09,31.6,7.2,15.3
MCO,2020-06-15,30.2,1.0,17.1
SEA,2020-06-24,22.1,1.8,18.7
MCO,2021-06-23,31.2,32.2,11.3
MCO,2020-06-08,30.9,10.2,14.8
SEA,2022-06-30,21.2,0.0,11.6
CLT,2023-06-18,31.4,0.1,13.8
PHX,2021-06-20,44.7,0.0,29.8
DEN,2020-06-15,33.0,0.0,31.7
DEN,2019-06-23,16.1,1.9,26.8
